ID;instrucciones;orden;ruido;tiempo
1;img;org;sil;72
2;img;org;sil;85,8
3;img;org;sil;79,2
4;img;org;mod;66
5;img;org;mod;64,8
6;img;org;mod;60,6
7;img;org;alt;76,2
8;img;org;alt;84,6
9;img;org;alt;81
10;tex;org;sil;85,2
11;tex;org;sil;94,8
12;tex;org;sil;88,2
13;tex;org;mod;74,4
14;tex;org;mod;82,8
15;tex;org;mod;87,6
16;tex;org;alt;73,8
17;tex;org;alt;89,4
18;tex;org;alt;70,2
19;vid;org;sil;69
20;vid;org;sil;81
21;vid;org;sil;61,8
22;vid;org;mod;77,4
23;vid;org;mod;70,2
24;vid;org;mod;64,8
25;vid;org;alt;78
26;vid;org;alt;87,6
27;vid;org;alt;74,4
28;img;pre;sil;24,6
29;img;pre;sil;19,8
30;img;pre;sil;31,2
31;img;pre;mod;27
32;img;pre;mod;21,6
33;img;pre;mod;24,6
34;img;pre;alt;34,8
35;img;pre;alt;27
36;img;pre;alt;29,4
37;tex;pre;sil;66
38;tex;pre;sil;75,6
39;tex;pre;sil;70,2
40;tex;pre;mod;21
41;tex;pre;mod;18,6
42;tex;pre;mod;25,8
43;tex;pre;alt;26,4
44;tex;pre;alt;22,8
45;tex;pre;alt;21
46;vid;pre;sil;26,4
47;vid;pre;sil;18,6
48;vid;pre;sil;20,4
49;vid;pre;mod;24
50;vid;pre;mod;21,5
51;vid;pre;mod;24
52;vid;pre;alt;18
53;vid;pre;alt;22,2
54;vid;pre;alt;20,9
55;img;mez;sil;81
56;img;mez;sil;92,4
57;img;mez;sil;76,8
58;img;mez;mod;68,4
59;img;mez;mod;72
60;img;mez;mod;76,2
61;img;mez;alt;75
62;img;mez;alt;81
63;img;mez;alt;79,2
64;tex;mez;sil;73,2
65;tex;mez;sil;75,6
66;tex;mez;sil;76,8
67;tex;mez;mod;82,2
68;tex;mez;mod;75
69;tex;mez;mod;73,8
70;tex;mez;alt;77,4
71;tex;mez;alt;84,6
72;tex;mez;alt;76,2
73;vid;mez;sil;75
74;vid;mez;sil;78,6
75;vid;mez;sil;82,8
76;vid;mez;mod;101
77;vid;mez;mod;99,6
78;vid;mez;mod;90,1
79;vid;mez;alt;93
80;vid;mez;alt;89,1
81;vid;mez;alt;90
